n,route,current_name,canonical_ar,canonical_en,old_names,definition,owner_dept,level,canonical_group,sort,nature,dept_count,depts,decision,status,derivation,view_of,merge_into,retirement_status,route_variant,current_label,current_parent,current_order,section
3062,Employees/hr_benefits.php,"المزايا والتأمينات","المزايا والتأمينات","",—,"تعرض المزايا والتأمينات في دورة الاستحقاق والصرف لدى إدارة الموارد البشرية. المستند الناتج اشتراك بحصتيه ومرجعه في المسير والخطوة التالية ادراج مكون المزايا في اسطر المسير.","إدارة الموارد البشرية","2 — العمليات","الاستحقاق والصرف",18,"شاشةٌ مستقلة",1,"الموارد البشرية والمالية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"المزايا والتأمينات","الاستحقاق والصرف","موضعُه من دورةِ العمل — قرارُ الورقة","الاستحقاق والصرف"
3063,Workforce/payroll_lines.php,"أسطر مسير الرواتب","أسطر مسير الرواتب","",—,"تعرض أسطر مسير الرواتب في دورة الاستحقاق والصرف لدى إدارة الموارد البشرية. المستند الناتج سطر مسير لموظف بمكوناته والخطوة التالية اعتماد المسير وطلب الصرف.","إدارة الموارد البشرية","2 — العمليات","الاستحقاق والصرف",21,"شاشةٌ مستقلة",1,"الموارد البشرية والمالية والخزينة","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"أسطر مسير الرواتب","الاستحقاق والصرف","موضعُه من دورةِ العمل — قرارُ الورقة","الاستحقاق والصرف"
3064,Workforce/hr_workforce_report.php,"تقرير القوى العاملة","تقرير القوى العاملة","",—,"تعرض تقرير القوى العاملة في دورة التقارير لدى إدارة الموارد البشرية. المستند الناتج تقرير قوى عاملة لفترة وادارة والخطوة التالية قراءة القيادة للفجوة والفائض.","إدارة الموارد البشرية","2 — العمليات",التقارير,23,"شاشةٌ مستقلة",1,"الموارد البشرية والقيادة","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"تقرير القوى العاملة",التقارير,"موضعُه من دورةِ العمل — قرارُ الورقة",التقارير
3065,Tickets/tkt_subject_types.php,"كتالوج أنواع محل البلاغ","كتالوج أنواع محل البلاغ","",—,"تعرض كتالوج أنواع محل البلاغ في دورة دورة البلاغ لدى إدارة البلاغات. المستند الناتج نوع محل بلاغ بسجله المرجعي والخطوة التالية تحديد محل البلاغ عند التسجيل.","إدارة البلاغات","2 — العمليات","دورة البلاغ",32,"شاشةٌ مستقلة",1,"البلاغات وكل الادارات","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"كتالوج أنواع محل البلاغ","دورة البلاغ","موضعُه من دورةِ العمل — قرارُ الورقة","دورة البلاغ"
3066,Tickets/tkt_parties.php,"أطراف البلاغ","أطراف البلاغ","",—,"تعرض أطراف البلاغ في دورة دورة البلاغ لدى إدارة البلاغات. المستند الناتج سجل الاطراف الاربعة للبلاغ والخطوة التالية توجيه البلاغ لادارة مالك الحل.","إدارة البلاغات","2 — العمليات","دورة البلاغ",33,"شاشةٌ مستقلة",1,"البلاغات وادارة مالك الحل","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"أطراف البلاغ","دورة البلاغ","موضعُه من دورةِ العمل — قرارُ الورقة","دورة البلاغ"
3067,Tickets/tkt_routing.php,"سجل التوجيه","سجل التوجيه","",—,"تعرض سجل التوجيه في دورة السجلات التابعة لدى إدارة البلاغات. المستند الناتج واقعة توجيه بقاعدتها او سببها والخطوة التالية اسناد مكلف في الادارة الموجه اليها.","إدارة البلاغات","2 — العمليات","السجلات التابعة",34,"شاشةٌ مستقلة",1,"البلاغات والادارة المستقبلة","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"سجل التوجيه","السجلات التابعة","موضعُه من دورةِ العمل — قرارُ الورقة","السجلات التابعة"
3068,Tickets/tkt_assignment.php,"سجل الإسناد","سجل الإسناد","",—,"تعرض سجل الإسناد في دورة السجلات التابعة لدى إدارة البلاغات. المستند الناتج واقعة اسناد بسببها ووقت استلامها والخطوة التالية تسجيل اجراء معالجة من المكلف.","إدارة البلاغات","2 — العمليات","السجلات التابعة",35,"شاشةٌ مستقلة",1,"البلاغات ومالك الحل","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"سجل الإسناد","السجلات التابعة","موضعُه من دورةِ العمل — قرارُ الورقة","السجلات التابعة"
3069,Tickets/tkt_resolution_actions.php,"إجراءات المعالجة","إجراءات المعالجة","",—,"تعرض إجراءات المعالجة في دورة السجلات التابعة لدى إدارة البلاغات. المستند الناتج اجراء معالجة بمرجعه في شاشة ادارته والخطوة التالية اعلان المعالجة وفتح نافذة التحقق.","إدارة البلاغات","2 — العمليات","السجلات التابعة",36,"شاشةٌ مستقلة",1,"مالك الحل والبلاغات","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"إجراءات المعالجة","السجلات التابعة","موضعُه من دورةِ العمل — قرارُ الورقة","السجلات التابعة"
3070,Tickets/tkt_communications.php,"سجل التواصل","سجل التواصل","",—,"تعرض سجل التواصل في دورة السجلات التابعة لدى إدارة البلاغات. المستند الناتج سطر تواصل بقناته ووقته والخطوة التالية رد المبلغ او استيفاء ناقص.","إدارة البلاغات","2 — العمليات","السجلات التابعة",37,"شاشةٌ مستقلة",1,"البلاغات والمبلغ","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"سجل التواصل","السجلات التابعة","موضعُه من دورةِ العمل — قرارُ الورقة","السجلات التابعة"
3071,Tickets/tkt_escalation.php,التصعيد,التصعيد,"",—,"تعرض التصعيد في دورة السجلات التابعة لدى إدارة البلاغات. المستند الناتج واقعة تصعيد بمستواها والخطوة التالية معالجة او تعليق مبرر.","إدارة البلاغات","2 — العمليات","السجلات التابعة",38,"شاشةٌ مستقلة",1,"البلاغات وقيادة ادارة مالك الحل","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,التصعيد,"السجلات التابعة","موضعُه من دورةِ العمل — قرارُ الورقة","السجلات التابعة"
3072,Tickets/tkt_reopen.php,"إعادة الفتح","إعادة الفتح","",—,"تعرض إعادة الفتح في دورة السجلات التابعة لدى إدارة البلاغات. المستند الناتج واقعة اعادة فتح بسببها والخطوة التالية عودة البلاغ لمسار معالجته.","إدارة البلاغات","2 — العمليات","السجلات التابعة",39,"شاشةٌ مستقلة",1,"البلاغات ومالك الحل","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"إعادة الفتح","السجلات التابعة","موضعُه من دورةِ العمل — قرارُ الورقة","السجلات التابعة"
3073,Tickets/tkt_verification.php,"التحقق والإغلاق","التحقق والإغلاق","",—,"تعرض التحقق والإغلاق في دورة دورة البلاغ لدى إدارة البلاغات. المستند الناتج دورة تحقق باقفالها والخطوة التالية اغلاق البلاغ او اعادة فتحه.","إدارة البلاغات","2 — العمليات","دورة البلاغ",40,"شاشةٌ مستقلة",1,"البلاغات والمبلغ ومالك الحل","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W13",—,—,ACTIVE,—,"التحقق والإغلاق","دورة البلاغ","موضعُه من دورةِ العمل — قرارُ الورقة","دورة البلاغ"
3074,Governance/gov_board.php,"لوحة الحوكمة والالتزام","لوحة الحوكمة والالتزام","",—,"تعرض لوحة الحوكمة والالتزام في دورة اللوحة لدى إدارة الحوكمة والالتزام. المستند الناتج قراءة حية بلا مستند والخطوة التالية فتح شاشة الدورة المعنية.","إدارة الحوكمة والالتزام","2 — العمليات",اللوحة,0,"شاشةٌ مستقلة",1,"الحوكمة والقيادة","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"لوحة الحوكمة والالتزام",اللوحة,"موضعُه من دورةِ العمل — قرارُ الورقة",اللوحة
3075,Governance/policies.php,"سجل السياسات","سجل السياسات","",—,"تعرض سجل السياسات في دورة الكيان والتفويض لدى إدارة الحوكمة والالتزام. المستند الناتج وثيقة السياسة بإصدارها والخطوة التالية نفاذ السياسة.","إدارة الحوكمة والالتزام","2 — العمليات","الكيان والتفويض",2,"شاشةٌ مستقلة",1,"كل الإدارات","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"سجل السياسات","الكيان والتفويض","موضعُه من دورةِ العمل — قرارُ الورقة","الكيان والتفويض"
3076,Governance/obligations.php,"الالتزامات التنظيمية","الالتزامات التنظيمية","",—,"تعرض الالتزامات التنظيمية في دورة الكيان والتفويض لدى إدارة الحوكمة والالتزام. المستند الناتج سند الالتزام والخطوة التالية توليد استحقاقات التقويم.","إدارة الحوكمة والالتزام","2 — العمليات","الكيان والتفويض",3,"شاشةٌ مستقلة",1,"الحوكمة والمالية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"الالتزامات التنظيمية","الكيان والتفويض","موضعُه من دورةِ العمل — قرارُ الورقة","الكيان والتفويض"
3077,Governance/compliance_calendar.php,"تقويم الامتثال","تقويم الامتثال","",—,"تعرض تقويم الامتثال في دورة الكيان والتفويض لدى إدارة الحوكمة والالتزام. المستند الناتج قراءة مشتقة بلا مستند والخطوة التالية تنفيذ الاستحقاق أو تصعيده.","إدارة الحوكمة والالتزام","2 — العمليات","الكيان والتفويض",4,"شاشةٌ مستقلة",1,"الإدارات المالكة","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"تقويم الامتثال","الكيان والتفويض","موضعُه من دورةِ العمل — قرارُ الورقة","الكيان والتفويض"
3078,Governance/regulatory_filings.php,"التقديمات النظامية","التقديمات النظامية","",—,"تعرض التقديمات النظامية في دورة المستندات والالتزام لدى إدارة الحوكمة والالتزام. المستند الناتج إيصال الجهة والخطوة التالية إقفال الاستحقاق.","إدارة الحوكمة والالتزام","2 — العمليات","المستندات والالتزام",7,"شاشةٌ مستقلة",1,"الحوكمة والمالية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"التقديمات النظامية","المستندات والالتزام","موضعُه من دورةِ العمل — قرارُ الورقة","المستندات والالتزام"
3079,Governance/sod_conflicts.php,"فصل الواجبات المتعارضة","فصل الواجبات المتعارضة","",—,"تعرض فصل الواجبات المتعارضة في دورة الأدوار والصلاحيات لدى إدارة الحوكمة والالتزام. المستند الناتج محضر معالجة التعارض والخطوة التالية معالجة أو استثناء بمدته.","إدارة الحوكمة والالتزام","2 — العمليات","الأدوار والصلاحيات",13,"شاشةٌ مستقلة",1,"الحوكمة والمراجعة الداخلية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"فصل الواجبات المتعارضة","الأدوار والصلاحيات","موضعُه من دورةِ العمل — قرارُ الورقة","الأدوار والصلاحيات"
3080,Governance/conflict_disclosures.php,"تضارب المصالح","تضارب المصالح","",—,"تعرض تضارب المصالح في دورة الأدوار والصلاحيات لدى إدارة الحوكمة والالتزام. المستند الناتج قرار الحوكمة على الإفصاح والخطوة التالية تجنيب أو ضوابط أو رفض.","إدارة الحوكمة والالتزام","2 — العمليات","الأدوار والصلاحيات",14,"شاشةٌ مستقلة",1,"الحوكمة والموارد البشرية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"تضارب المصالح","الأدوار والصلاحيات","موضعُه من دورةِ العمل — قرارُ الورقة","الأدوار والصلاحيات"
3081,Governance/related_parties.php,"الأطراف ذات العلاقة","الأطراف ذات العلاقة","",—,"تعرض الأطراف ذات العلاقة في دورة الأدوار والصلاحيات لدى إدارة الحوكمة والالتزام. المستند الناتج إفصاح التعامل والخطوة التالية اعتماد التعامل بإفصاحه.","إدارة الحوكمة والالتزام","2 — العمليات","الأدوار والصلاحيات",15,"شاشةٌ مستقلة",1,"الحوكمة والمالية والمشتريات","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"الأطراف ذات العلاقة","الأدوار والصلاحيات","موضعُه من دورةِ العمل — قرارُ الورقة","الأدوار والصلاحيات"
3082,Governance/gifts_hospitality.php,"الهدايا والضيافة","الهدايا والضيافة","",—,"تعرض الهدايا والضيافة في دورة الأدوار والصلاحيات لدى إدارة الحوكمة والالتزام. المستند الناتج قرار القبول أو الرد والخطوة التالية قبول أو رد بحسب السياسة.","إدارة الحوكمة والالتزام","2 — العمليات","الأدوار والصلاحيات",16,"شاشةٌ مستقلة",1,الحوكمة,"قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"الهدايا والضيافة","الأدوار والصلاحيات","موضعُه من دورةِ العمل — قرارُ الورقة","الأدوار والصلاحيات"
3083,Governance/conduct_acknowledgements.php,"إقرارات مدونة السلوك","إقرارات مدونة السلوك","",—,"تعرض إقرارات مدونة السلوك في دورة الأدوار والصلاحيات لدى إدارة الحوكمة والالتزام. المستند الناتج إقرار الموظف والخطوة التالية تعليم الناقص وتصعيده.","إدارة الحوكمة والالتزام","2 — العمليات","الأدوار والصلاحيات",17,"شاشةٌ مستقلة",1,"الحوكمة والموارد البشرية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"إقرارات مدونة السلوك","الأدوار والصلاحيات","موضعُه من دورةِ العمل — قرارُ الورقة","الأدوار والصلاحيات"
3084,Governance/approval_ladders.php,"سلاليم الاعتماد","سلاليم الاعتماد","",—,"تعرض سلاليم الاعتماد في دورة الاستثناء والرقابة لدى إدارة الحوكمة والالتزام. المستند الناتج وثيقة تعريف السلم والخطوة التالية قراءة السلم في محرك الاعتماد.","إدارة الحوكمة والالتزام","2 — العمليات","الاستثناء والرقابة",18,"شاشةٌ مستقلة",1,"كل الإدارات","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"سلاليم الاعتماد","الاستثناء والرقابة","موضعُه من دورةِ العمل — قرارُ الورقة","الاستثناء والرقابة"
3085,Governance/integrity_reports.php,"بلاغات النزاهة المحمية","بلاغات النزاهة المحمية","",—,"تعرض بلاغات النزاهة المحمية في دورة الاستثناء والرقابة لدى إدارة الحوكمة والالتزام. المستند الناتج محضر الفرز والخطوة التالية فرز ثم إحالة إن لزم.","إدارة الحوكمة والالتزام","2 — العمليات","الاستثناء والرقابة",21,"شاشةٌ مستقلة",1,الحوكمة,"قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"بلاغات النزاهة المحمية","الاستثناء والرقابة","موضعُه من دورةِ العمل — قرارُ الورقة","الاستثناء والرقابة"
3086,Governance/investigations.php,التحقيقات,التحقيقات,"",—,"تعرض التحقيقات في دورة الاستثناء والرقابة لدى إدارة الحوكمة والالتزام. المستند الناتج تكليف التحقيق ونتيجته والخطوة التالية إحالة النتيجة لجهة أثرها.","إدارة الحوكمة والالتزام","2 — العمليات","الاستثناء والرقابة",22,"شاشةٌ مستقلة",1,"الحوكمة والموارد البشرية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,التحقيقات,"الاستثناء والرقابة","موضعُه من دورةِ العمل — قرارُ الورقة","الاستثناء والرقابة"
3087,Governance/breaches.php,"سجل الإخلالات","سجل الإخلالات","",—,"تعرض سجل الإخلالات في دورة الاستثناء والرقابة لدى إدارة الحوكمة والالتزام. المستند الناتج ملف حالة الحوكمة والخطوة التالية إسناد إجراء تصحيحي.","إدارة الحوكمة والالتزام","2 — العمليات","الاستثناء والرقابة",23,"شاشةٌ مستقلة",1,"الحوكمة والمراجعة الداخلية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"سجل الإخلالات","الاستثناء والرقابة","موضعُه من دورةِ العمل — قرارُ الورقة","الاستثناء والرقابة"
3088,Governance/corrective_actions.php,"الإجراءات التصحيحية","الإجراءات التصحيحية","",—,"تعرض الإجراءات التصحيحية في دورة الاستثناء والرقابة لدى إدارة الحوكمة والالتزام. المستند الناتج دليل إغلاق الإجراء والخطوة التالية تحقق ثم إغلاق.","إدارة الحوكمة والالتزام","2 — العمليات","الاستثناء والرقابة",24,"شاشةٌ مستقلة",1,"الإدارات المالكة والحوكمة","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"الإجراءات التصحيحية","الاستثناء والرقابة","موضعُه من دورةِ العمل — قرارُ الورقة","الاستثناء والرقابة"
3089,Governance/audit_followup.php,"متابعة نتائج المراجعة","متابعة نتائج المراجعة","",—,"تعرض متابعة نتائج المراجعة في دورة الاستثناء والرقابة لدى إدارة الحوكمة والالتزام. المستند الناتج خطة الإدارة ومهلها والخطوة التالية تصعيد المتأخر.","إدارة الحوكمة والالتزام","2 — العمليات","الاستثناء والرقابة",25,"شاشةٌ مستقلة",1,الحوكمة,"قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"متابعة نتائج المراجعة","الاستثناء والرقابة","موضعُه من دورةِ العمل — قرارُ الورقة","الاستثناء والرقابة"
3090,Governance/committees.php,"اللجان وحوكمة الاجتماعات","اللجان وحوكمة الاجتماعات","",—,"تعرض اللجان وحوكمة الاجتماعات في دورة الأنظمة المرجعية لدى إدارة الحوكمة والالتزام. المستند الناتج ميثاق اللجنة والخطوة التالية انعقاد بدوريته.","إدارة الحوكمة والالتزام","2 — العمليات","الأنظمة المرجعية",29,"شاشةٌ مستقلة",1,"الحوكمة والقيادة","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"اللجان وحوكمة الاجتماعات","الأنظمة المرجعية","موضعُه من دورةِ العمل — قرارُ الورقة","الأنظمة المرجعية"
3091,Risk/risk_taxonomy.php,"تصنيف المخاطر","تصنيف المخاطر","",—,"تعرض تصنيف المخاطر في دورة التأسيس المرجعي لدى إدارة المخاطر. المستند الناتج شجرة التصنيف المعتمدة والخطوة التالية إسناد الخطر إلى عقدة واحدة.","إدارة المخاطر","2 — العمليات","التأسيس المرجعي",41,"شاشةٌ مستقلة",1,"إدارة المخاطر","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"تصنيف المخاطر","التأسيس المرجعي","موضعُه من دورةِ العمل — قرارُ الورقة","التأسيس المرجعي"
3092,Risk/risk_events.php,"أحداث المخاطر والخسائر","أحداث المخاطر والخسائر","",—,"تعرض أحداث المخاطر والخسائر في دورة السجل والتقييم لدى إدارة المخاطر. المستند الناتج قراءة بمرجع المصدر والخطوة التالية تقييم التعرض.","إدارة المخاطر","2 — العمليات","السجل والتقييم",43,"شاشةٌ مستقلة",1,"إدارة المخاطر والمالية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"أحداث المخاطر والخسائر","السجل والتقييم","موضعُه من دورةِ العمل — قرارُ الورقة","السجل والتقييم"
3093,Risk/risk_escalations.php,"تصعيدات المخاطر","تصعيدات المخاطر","",—,"تعرض تصعيدات المخاطر في دورة القرار والإغلاق لدى إدارة المخاطر. المستند الناتج محضر التصعيد والخطوة التالية قرار الجهة المصعد إليها.","إدارة المخاطر","2 — العمليات","القرار والإغلاق",49,"شاشةٌ مستقلة",1,"إدارة المخاطر والقيادة","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"تصعيدات المخاطر","القرار والإغلاق","موضعُه من دورةِ العمل — قرارُ الورقة","القرار والإغلاق"
3094,Risk/risk_closure.php,"سجل الإغلاق والأدلة","سجل الإغلاق والأدلة","",—,"تعرض سجل الإغلاق والأدلة في دورة القرار والإغلاق لدى إدارة المخاطر. المستند الناتج دليل الإغلاق والخطوة التالية إقفال الخطر أو إعادة فتحه.","إدارة المخاطر","2 — العمليات","القرار والإغلاق",51,"شاشةٌ مستقلة",1,"إدارة المخاطر والمراجعة الداخلية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"سجل الإغلاق والأدلة","القرار والإغلاق","موضعُه من دورةِ العمل — قرارُ الورقة","القرار والإغلاق"
3095,Audit/iaf_overview.php,"لوحة المراجعة الداخلية","لوحة المراجعة الداخلية","",—,"تعرض لوحة المراجعة الداخلية في دورة اللوحة لدى المراجعة الداخلية. المستند الناتج قراءة حية بلا مستند والخطوة التالية فتح المهمة المعنية.","المراجعة الداخلية","2 — العمليات",اللوحة,60,"شاشةٌ مستقلة",1,"المراجعة الداخلية والمالك","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"لوحة المراجعة الداخلية",اللوحة,"موضعُه من دورةِ العمل — قرارُ الورقة",اللوحة
3096,Audit/iaf_audit_programs.php,"برامج المراجعة","برامج المراجعة","",—,"تعرض برامج المراجعة في دورة تنفيذ المهمة وأدلتها لدى المراجعة الداخلية. المستند الناتج برنامج المهمة المعتمد والخطوة التالية سحب العينة وتنفيذ الاختبار.","المراجعة الداخلية","2 — العمليات","تنفيذ المهمة وأدلتها",66,"شاشةٌ مستقلة",1,"المراجعة الداخلية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"برامج المراجعة","تنفيذ المهمة وأدلتها","موضعُه من دورةِ العمل — قرارُ الورقة","تنفيذ المهمة وأدلتها"
3097,Audit/iaf_evidence_requests.php,"طلبات الأدلة","طلبات الأدلة","",—,"تعرض طلبات الأدلة في دورة تنفيذ المهمة وأدلتها لدى المراجعة الداخلية. المستند الناتج طلب الدليل ومهلته والخطوة التالية تزويد أو تصعيد التأخر.","المراجعة الداخلية","2 — العمليات","تنفيذ المهمة وأدلتها",67,"شاشةٌ مستقلة",1,"المراجعة والجهة الخاضعة","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"طلبات الأدلة","تنفيذ المهمة وأدلتها","موضعُه من دورةِ العمل — قرارُ الورقة","تنفيذ المهمة وأدلتها"
3098,Audit/iaf_test_samples.php,"العينات ونتائج الاختبارات","العينات ونتائج الاختبارات","",—,"تعرض العينات ونتائج الاختبارات في دورة تنفيذ المهمة وأدلتها لدى المراجعة الداخلية. المستند الناتج ورقة نتائج الاختبار والخطوة التالية رفع ملاحظة عند الاستثناء.","المراجعة الداخلية","2 — العمليات","تنفيذ المهمة وأدلتها",68,"شاشةٌ مستقلة",1,"المراجعة الداخلية","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"العينات ونتائج الاختبارات","تنفيذ المهمة وأدلتها","موضعُه من دورةِ العمل — قرارُ الورقة","تنفيذ المهمة وأدلتها"
3099,Audit/iaf_function_risks.php,"مخاطر وظيفة المراجعة","مخاطر وظيفة المراجعة","",—,"تعرض مخاطر وظيفة المراجعة في دورة الحوكمة والضوابط لدى المراجعة الداخلية. المستند الناتج تقرير مخاطر الوظيفة والخطوة التالية رفع لخط الرفع بالميثاق.","المراجعة الداخلية","2 — العمليات","الحوكمة والضوابط",76,"شاشةٌ مستقلة",1,"المراجعة الداخلية والمالك","قدرةٌ ثبت غيابُها فبُنيت في موضعِها المعياريّ",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W14",—,—,ACTIVE,—,"مخاطر وظيفة المراجعة","الحوكمة والضوابط","موضعُه من دورةِ العمل — قرارُ الورقة","الحوكمة والضوابط"
3100,Portal/exec_daily_report.php,"التقرير اليومي التنفيذي","التقرير اليومي التنفيذي","",—,"تعرض التقرير اليومي التنفيذي في دورة التقارير الدورية لدى الرئيس التنفيذي. قراءة حية من سجل إدارة الموقع ولا إدخال فيها.","الرئيس التنفيذي","2 — العمليات","التقارير الدورية",11,"شاشةٌ مستقلة",1,"القيادة والنواب","إسقاط ثبت غيابه فبني في موضعه المعياري",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W15",—,—,ACTIVE,—,"التقرير اليومي التنفيذي","التقارير الدورية","موضعُه من دورةِ العمل — قرارُ الورقة","التقارير الدورية"
3101,Portal/exec_daily_stops.php,"تفصيل توقفات اليوم","تفصيل توقفات اليوم","",—,"تعرض تفصيل توقفات اليوم في دورة التقارير الدورية لدى الرئيس التنفيذي. قراءة حية من سجل إدارة التشغيل ولا إدخال فيها.","الرئيس التنفيذي","2 — العمليات","التقارير الدورية",12,"شاشةٌ مستقلة",1,"القيادة وإدارة التشغيل","إسقاط ثبت غيابه فبني في موضعه المعياري",APPROVED,"ترتيبُ دورةِ العملِ في الحزمة — RPR-W15",—,—,ACTIVE,—,"تفصيل توقفات اليوم","التقارير الدورية","موضعُه من دورةِ العمل — قرارُ الورقة","التقارير الدورية"
